dataset,strategy,pipeline_config,agent,call_count,call_count_with_prompt_tokens,call_count_with_completion_tokens,call_count_with_total_tokens,calls_with_error,distinct_run_ids,distinct_task_ids,prompt_tokens_avg_per_call,prompt_tokens_median_per_call,prompt_tokens_p90_per_call,completion_tokens_avg_per_call,completion_tokens_median_per_call,completion_tokens_p90_per_call,total_tokens_avg_per_call,total_tokens_median_per_call,total_tokens_p90_per_call,latency_s_avg_per_call,latency_s_median_per_call,latency_s_p90_per_call,total_tokens_sum,total_tokens_avg_per_run,total_tokens_avg_per_task
bigcodebench,agentic,bigcodebench_no_security_no_verifier,Architect,200,200,200,200,0,5,200,498.38,473.0,659.4,1467.55,1496.0,1496.0,1965.93,1964.0,2145.1,19.039611,17.981439,20.573433,393186.0,78637.2,1965.93
bigcodebench,agentic,bigcodebench_no_security_no_verifier,Developer,200,200,200,200,0,5,200,820.78,806.5,1178.1,547.165,517.0,807.0,1367.945,1325.0,1847.4,6.433295,6.202875,9.17585,273589.0,54717.8,1367.945
bigcodebench,agentic,bigcodebench_no_security_no_verifier,QA,200,200,200,200,0,5,200,1122.385,1055.0,1557.3,941.87,937.5,1500.0,2064.255,2077.0,2829.0,24.461713,20.635286,48.38678,412851.0,82570.2,2064.255
bigcodebench,agentic_no_planner_plus_verifier,bigcodebench_no_planner,Developer,4,4,4,4,0,1,4,909.5,806.0,1249.0,577.75,529.0,775.3,1487.25,1335.0,2010.5,5.942948,5.851151,7.07775,5949.0,5949.0,1487.25
bigcodebench,agentic_no_planner_plus_verifier,bigcodebench_no_planner,QA,4,4,4,4,0,1,4,1516.75,1403.5,2142.3,75.0,77.5,89.1,1591.75,1474.5,2221.8,2.509238,2.626596,2.648011,6367.0,6367.0,1591.75
bigcodebench,agentic_no_planner_plus_verifier,bigcodebench_no_planner,Verifier,4,4,4,4,0,1,4,414.75,418.5,429.0,428.25,467.5,504.6,843.0,896.5,918.9,7.964237,7.918338,9.843121,3372.0,3372.0,843.0
bigcodebench,agentic_plus_verifier,bigcodebench,Architect,20,20,20,20,0,1,20,514.55,503.5,646.0,1453.05,1496.0,1496.0,1967.6,1999.5,2099.7,27.291626,18.952056,41.640166,39352.0,39352.0,1967.6
bigcodebench,agentic_plus_verifier,bigcodebench,Developer,20,20,20,20,0,1,20,831.2,833.0,1188.9,580.15,550.0,822.2,1411.35,1339.0,1832.4,6.213094,6.335671,7.824119,28227.0,28227.0,1411.35
bigcodebench,agentic_plus_verifier,bigcodebench,QA,20,20,20,20,0,1,20,1131.8,1002.5,1594.1,96.85,81.0,137.7,1228.65,1149.0,1683.7,3.066685,2.879968,4.267328,24573.0,24573.0,1228.65
bigcodebench,agentic_plus_verifier,bigcodebench,Verifier,7,7,7,7,0,1,7,485.0,486.0,552.0,342.428571,285.0,504.6,827.428571,776.0,1044.0,11.730293,9.714564,19.252071,5792.0,5792.0,827.428571
bigcodebench,monolithic,humaneval_monolithic,Monolithic,200,200,200,200,0,4,200,721.23,697.5,888.8,1082.815,1054.0,1500.9,1804.045,1748.5,2314.1,16.749113,16.216458,21.825784,360809.0,90202.25,1804.045
humaneval,agentic,humaneval_no_security_no_verifier,Architect,164,164,164,164,0,2,164,325.445122,308.5,423.5,1450.463415,1496.0,1496.0,1775.908537,1796.0,1919.5,16.326623,15.919539,18.301696,291249.0,145624.5,1775.908537
humaneval,agentic,humaneval_no_security_no_verifier,Developer,164,164,164,164,0,2,164,650.530488,675.0,886.0,265.70122,263.0,404.0,916.231707,906.0,1261.4,3.853652,3.505817,5.322054,150262.0,75131.0,916.231707
humaneval,agentic,humaneval_no_security_no_verifier,QA,164,164,164,164,0,2,164,474.615854,444.0,694.6,515.195122,390.0,1305.6,989.810976,879.5,1836.2,16.109018,10.754635,34.331088,162329.0,81164.5,989.810976
humaneval,monolithic,humaneval_monolithic,Monolithic,164,164,164,164,0,2,164,543.597561,525.5,650.0,760.664634,755.5,1047.9,1304.262195,1282.0,1627.5,10.793008,10.457772,13.837334,213899.0,106949.5,1304.262195
mbpp,agentic,mbpp_no_security_no_verifier,Architect,200,200,200,200,0,2,200,216.755,213.0,237.0,1439.77,1496.0,1496.0,1656.525,1706.0,1727.1,15.669588,15.8507,17.366495,331305.0,165652.5,1656.525
mbpp,agentic,mbpp_no_security_no_verifier,Developer,200,200,200,200,0,2,200,524.165,575.5,749.1,164.41,136.5,322.0,688.575,693.0,941.1,3.106905,2.767437,4.875589,137715.0,68857.5,688.575
mbpp,agentic,mbpp_no_security_no_verifier,QA,200,200,200,200,0,2,200,299.285,275.5,448.1,291.33,189.0,539.8,590.615,467.5,910.1,7.145948,5.511187,11.335199,118123.0,59061.5,590.615
mbpp,monolithic,humaneval_monolithic,Monolithic,200,200,200,200,0,1,200,433.79,430.0,456.0,608.98,602.0,910.1,1042.77,1036.5,1354.1,9.525617,9.504682,13.272831,208554.0,208554.0,1042.77
